id,name,sex,age,origin,homeland,medium,real_name,time,time_zwei,time_drei,time_vier,time_fünf,time_sechs,time_sieben
Gandalf,Gandalf der Graue,2,5,6,10,3,Gandalf,1,1,1,1,1,1,1
Bilbo,Bilbo Beutlin,2,2,1,1,3,Bilbo,1,1,1,1,1,1,1
Thorin,Thorin Eichenschild,2,4,5,2,3,Thorin,99,1,1,1,1,1,1
Bifur,Bifur der Zitternde,2,2,5,8,3,Bifur,99,1,1,1,1,1,1
Bofur,Bofur der Zitternde,2,2,5,8,3,Bofur,99,1,1,1,1,1,1
Fili,Fili der Verberger,2,2,5,2,3,Fili,99,1,1,1,1,1,1
Kili,Kili der Keilschmied,2,2,5,2,3,Kili,99,1,1,1,1,1,1
Dori,Dori der Narr,2,2,5,9,3,Dori,99,1,1,1,1,1,1
Nori,Nori der Winzling,2,2,5,9,3,Nori,99,1,1,1,1,1,1
Ori,Ori der Verrückte,2,2,5,9,3,Ori,99,1,1,1,1,1,1
Oin,Oin der Furchtsame,2,4,5,2,3,Oin,99,1,1,1,1,1,1
Gloin,Gloin der Glühende ,2,4,5,2,3,Gloin,99,1,1,1,1,1,1
Balin,Balin Sohn des Fundin,2,4,5,2,3,Balin,99,1,1,1,1,1,1
Dwalin,Dwalin der Schlafende,2,4,5,2,3,Dwalin,99,1,1,1,1,1,1
Bombur,Bombur der Dicke,2,2,5,8,3,Bombur,99,1,1,1,1,1,1
Gollum,Gollum/Smeagol,2,5,1,1,3,Gollum,99,99,99,1,1,1,1
Alfrid,Alfrid Lickspittle,2,1,4,7,2,Alfrid,99,99,99,99,99,1,1
Bard,Bard der Bogenschütze,2,1,4,7,3,Bard,99,99,99,99,99,1,1
Beorn,Beorn der Hautwechsler,2,99,7,6,3,Beorn,99,99,99,99,1,1,1
Bain,Bain König von Thal,2,1,4,7,2,Bain,99,99,99,99,99,1,1
Braga,Braga Wache,2,99,4,7,2,Braga,99,99,99,99,99,1,1
Galion,Galion,2,99,2,3,3,Galion,99,99,99,99,1,1,1
Legolas,Legolas Sohn von Thranduil,2,5,2,3,2,Legolas,99,99,99,99,1,1,1
Meister der Seestadt,Bürgermeister von Esgaroth,2,99,4,7,3,Meister der Seestadt,99,99,99,99,99,1,1
Sigrid,Sigrid Bardsdottir,1,1,4,7,2,Sigrid,99,99,99,99,99,1,1
Tauriel,Tauriel Tochter des Waldes,1,5,2,3,2,Tauriel,99,99,99,99,1,1,1
Thranduil,Thranduil König unter Eiche und Buche,1,5,2,3,3,Thranduil,99,99,99,99,1,1,1
Tilda,Tilda Tochter von Bard,1,1,4,7,2,Tilda,99,99,99,99,99,1,1
Peridur,Peridur Wächter d. Seestadt,2,99,4,7,2,Peridur,99,99,99,99,99,1,1
Hilda Bianca,Hilda Bianca Marktverkäuferin,1,1,4,7,2,Hilda Bianca,99,99,99,99,99,1,1
Azog,Azog der Orkhäuptling,2,99,3,2,2,Azog,99,99,1,1,1,1,1
Bolg,Sohn von Azog,2,99,3,2,3,Bolg,99,99,1,1,1,1,1
Fimbul,Fimbul aus Azogs Armee,2,99,3,7,2,Fimbul,99,99,1,1,1,1,1
Grinnah,Grinnah der Handlanger,2,99,3,2,2,Grinnah,99,99,99,1,1,1,1
Yazneg,Yazneg der Orkjäger,2,99,3,5,2,Yazneg,99,99,99,1,1,1,1
Großer Goblin,Großer Goblin,2,99,3,5,3,Großer Goblin,99,99,99,1,1,1,1
Goblin-Schreiber,Goblin-Schreiber,2,99,3,5,2,Goblin-Schreiber,99,99,99,1,1,1,1
Narzug,Narzug der Gundabadork,2,99,3,3,2,Narzug,99,99,99,1,1,1,1
Verlieswächter,Verlieswächter,2,99,3,5,2,Verlieswächter,99,99,99,99,99,99,1
Nekromant,Nekromant/Sauron,2,5,8,3,2,Nekromant,99,99,99,1,1,99,1
Ringgeister,Schwarze Reiter,2,5,11,13,2,Ringgeister,99,99,99,1,1,99,1
Bert,Bert Huggins,2,99,9,4,2,Bert,99,99,1,1,1,99,1
Bill,Bill Huggins,2,99,9,4,3,Bill,99,99,1,1,1,99,1
Tom,Tom Huggins,2,99,9,4,3,Tom,99,99,1,1,1,99,1
Elrond,Elrond,2,5,2,4,3,Elrond,99,99,1,1,1,99,1
Galadriel,Herrin von Lothlorien,1,5,2,4,3,Galadriel,99,99,1,1,1,99,1
Lindir,Lindir,2,5,2,4,2,Lindir,99,99,1,1,1,99,1
Radagast,Radagast der Braune,2,5,6,10,3,Radagast,99,99,1,1,1,99,1
Saruman,Saruman der Weiße,2,5,6,12,3,Saruman,99,99,1,1,1,99,1
Dain II,Dáin II. Eisenfuß,2,5,5,3,3,Dain II,99,99,99,99,99,99,1
Girion,Girion Fürst von Thal,2,1,4,2,2,Girion,99,99,99,99,99,1,1
Smaug,Smaug der Goldene,2,5,10,2,3,Smaug,99,99,99,99,99,99,1
Thror,König Thror,2,4,5,2,3,Thror,99,99,1,1,1,1,1
